DATE,wind_era5,wind_100_era5,wind_850hpa_era5,bld_era5,blh_era5,t2m_era5,d2m_era5,sshf_era5,wind_jra55,t2m_jra55,sh_jra55,lh_jra55,surf_roughness_jra55,wind_ncep1
1958-01-01,2.0614414,3.3415825,8.150538,4355.6665,208.04854,290.58347,285.30124,-64983.09,0.71065634,291.2378,5.960682,12.766289,0.84573656,4.3611183
1958-01-02,2.3030872,4.7519317,7.645471,4154.268,226.9663,292.01657,285.8823,-35037.184,1.1201906,292.56107,5.5807114,16.348362,0.84573656,3.671173
1958-01-03,2.1578903,4.5576844,8.323084,3699.5547,290.52725,292.1628,285.45242,-72491.305,0.9845711,292.70026,7.4428062,16.067474,0.84573656,3.3398626
1958-01-04,2.5109131,4.899772,6.158053,2438.1667,301.6722,290.4771,284.4077,-45679.902,1.2660966,290.73218,9.007015,15.497513,0.84573656,1.8862176
1958-01-05,3.2912948,6.3861766,9.150243,4028.6484,331.0778,289.35178,279.73386,-50565.51,1.7491927,291.03384,13.365868,15.95681,0.84573656,3.1969914
1958-01-06,2.9820502,4.7553573,7.3640575,2692.5234,307.00223,287.57993,280.17664,-110927.695,1.2789677,288.58203,20.05854,12.862694,0.84573656,2.6218607
1958-01-07,2.2926111,3.0543911,6.7490354,1959.5729,279.2283,287.39844,280.29504,-107352.445,0.846161,287.23242,43.688118,12.406723,0.84573656,2.2077646
1958-01-08,2.0842774,2.6733835,7.8581276,1754.0131,266.26135,287.90512,280.39212,-98110.96,0.5114502,288.0152,54.99072,12.3503,0.84573656,1.1126969
1958-01-09,2.0999484,2.7975712,7.62083,2016.6693,252.4106,287.95862,280.84106,-90545.44,0.58408666,288.03204,39.95152,12.417126,0.84573656,1.0788763
1958-01-10,1.5857973,1.9312736,8.573367,1492.3906,262.38174,288.91452,281.81754,-81072.695,0.520974,288.88785,22.17889,13.4222145,0.84573656,1.0387933
1958-01-11,1.8886261,3.3874938,2.8672898,970.1953,267.92017,289.16605,283.30322,-80187.29,0.97031116,289.68738,22.183151,14.154541,0.84573656,2.9915707
1958-01-12,1.712763,2.2346969,3.4486253,422.03647,269.7784,289.63235,284.42972,-103553.875,0.6319185,290.59506,20.170963,15.270226,0.84573656,2.0096354
1958-01-13,1.6709238,2.7003229,3.4830697,1338.7422,279.5365,290.25363,284.9302,-92594.91,0.51199937,290.7193,20.410019,14.858376,0.84573656,2.9397461
1958-01-14,1.6137081,2.3856306,3.1223752,1933.6172,243.29167,291.5341,284.92804,-70621.68,1.0050538,290.99762,16.381748,14.343315,0.84573656,4.2243953
1958-01-15,2.1059172,3.7336695,5.8885765,3401.591,259.32693,290.5612,285.5128,-78679.32,1.4594587,290.97302,17.218067,17.193256,0.84573656,4.062481
1958-01-16,2.7751284,5.232739,8.301492,2443.3645,416.25327,290.74173,284.6925,-79635.87,1.1708539,290.8949,14.723503,16.199665,0.84573656,2.1177144
1958-01-17,4.4596877,7.912586,12.105087,8520.817,548.08887,289.0008,278.46292,-69688.82,2.256063,290.0819,16.711472,15.422966,0.84573656,2.70402
1958-01-18,2.6799717,3.887661,9.446321,2956.211,350.4215,287.36832,277.93704,-134189.55,1.939643,288.10828,22.089756,14.929115,0.84573656,2.567117
1958-01-19,1.232679,1.3648658,2.2599113,338.98697,308.75165,288.12283,279.90796,-117641.46,0.66544324,287.79727,25.764732,14.513027,0.84573656,2.778995
1958-01-20,1.5399095,1.7611084,1.7453309,613.0651,317.6078,288.37842,280.95383,-115283.625,0.7129192,288.23627,25.664066,14.693493,0.84573656,1.1848704
1958-01-21,2.157202,2.8162887,5.293984,1042.8672,327.44284,288.71683,281.68002,-111959.4,0.6077706,288.9434,22.967499,15.17823,0.84573656,1.0127189
1958-01-22,1.570002,1.9701442,6.641566,1839.1406,300.18112,290.53867,282.87585,-106295.09,0.6190202,290.61115,21.210873,12.852974,0.84573656,2.5736532
1958-01-23,2.0651276,3.355465,5.812031,1575.4453,331.58536,290.3513,282.90308,-81691.305,0.9836104,291.64618,23.062355,17.90081,0.84573656,1.5792623
1958-01-24,2.5627863,3.8274825,8.482501,1811.1146,331.67148,289.30197,280.48685,-105336.56,0.881667,290.22272,22.609081,15.806625,0.84573656,1.984662
1958-01-25,1.8189481,3.1829662,7.8337407,1831.875,204.20961,290.34,280.9108,-63390.145,1.5466517,290.72192,21.232983,15.4640045,0.84573656,3.5961387
1958-01-26,2.0265899,3.004257,5.653843,1409.3412,226.67163,292.60184,283.18286,-74485.45,0.89257866,293.33328,18.457565,19.671719,0.84573656,2.3301334
1958-01-27,3.6671934,6.200189,6.3065453,8110.7446,362.40048,290.87802,286.95926,-37476.004,1.8651109,292.53043,3.5906258,32.261383,0.84573656,3.6968944
1958-01-28,2.4312232,4.06878,6.237709,5038.7915,376.1062,290.78036,287.13412,-93755.06,2.067249,291.03903,7.973339,55.897556,0.84573656,3.523847
1958-01-29,2.2973652,4.19219,8.170925,2041.5885,396.80527,288.4786,285.30252,-88671.85,1.4188976,290.10364,25.139484,35.79298,0.84573656,2.2505238
1958-01-30,3.4508493,6.3559475,9.629199,6658.3438,515.95935,288.65604,282.8729,-82681.445,1.3930933,289.21646,22.461819,38.581154,0.84573656,2.5906212
